tenant_id,institution_id,institution_code,institution_name,institution_level,parent_institution_id,branch_name,province,city,institution_type,opening_date,employee_count,customer_manager_count,target_application_count,target_credit_amount,target_drawdown_amount,status
*,INST001,ORG0001,上海分行,分行,,上海分行,上海市,上海,一级分行,2008-02-11,80,18,183,8250000,5180000,正常
*,INST002,ORG0002,上海第01支行,支行,INST001,上海分行,上海市,上海,综合支行,2008-03-23,14,4,186,8500000,5360000,正常
*,INST003,ORG0003,上海第02支行,支行,INST001,上海分行,上海市,上海,小微专营支行,2008-05-03,16,5,189,8750000,5540000,正常
*,INST004,ORG0004,上海第03支行,支行,INST001,上海分行,上海市,上海,综合支行,2008-06-13,18,6,192,9000000,5720000,正常
*,INST005,ORG0005,上海第04支行,支行,INST001,上海分行,上海市,上海,小微专营支行,2008-07-24,20,7,195,9250000,5900000,正常
*,INST006,ORG0006,上海第05支行,支行,INST001,上海分行,上海市,上海,综合支行,2008-09-03,22,3,198,9500000,6080000,正常
*,INST007,ORG0007,上海第06支行,支行,INST001,上海分行,上海市,上海,小微专营支行,2008-10-14,24,4,201,9750000,6260000,正常
*,INST008,ORG0008,上海第07支行,支行,INST001,上海分行,上海市,上海,综合支行,2008-11-24,26,5,204,10000000,6440000,正常
*,INST009,ORG0009,上海第08支行,支行,INST001,上海分行,上海市,上海,小微专营支行,2009-01-04,28,6,207,10250000,6620000,正常
*,INST010,ORG0010,上海第09支行,支行,INST001,上海分行,上海市,上海,综合支行,2009-02-14,30,7,210,10500000,6800000,正常
*,INST011,ORG0011,南京分行,分行,,南京分行,江苏省,南京,一级分行,2009-03-27,86,19,213,10750000,6980000,正常
*,INST012,ORG0012,南京第01支行,支行,INST011,南京分行,江苏省,南京,综合支行,2009-05-07,14,4,216,11000000,7160000,正常
*,INST013,ORG0013,南京第02支行,支行,INST011,南京分行,江苏省,南京,小微专营支行,2009-06-17,16,5,219,11250000,7340000,正常
*,INST014,ORG0014,南京第03支行,支行,INST011,南京分行,江苏省,南京,综合支行,2009-07-28,18,6,222,11500000,7520000,正常
*,INST015,ORG0015,南京第04支行,支行,INST011,南京分行,江苏省,南京,小微专营支行,2009-09-07,20,7,225,11750000,7700000,正常
*,INST016,ORG0016,南京第05支行,支行,INST011,南京分行,江苏省,南京,综合支行,2009-10-18,22,3,228,12000000,7880000,正常
*,INST017,ORG0017,南京第06支行,支行,INST011,南京分行,江苏省,南京,小微专营支行,2009-11-28,24,4,231,12250000,8060000,正常
*,INST018,ORG0018,南京第07支行,支行,INST011,南京分行,江苏省,南京,综合支行,2010-01-08,26,5,234,12500000,8240000,正常
*,INST019,ORG0019,南京第08支行,支行,INST011,南京分行,江苏省,南京,小微专营支行,2010-02-18,28,6,237,12750000,8420000,正常
*,INST020,ORG0020,南京第09支行,支行,INST011,南京分行,江苏省,南京,综合支行,2010-03-31,30,7,240,13000000,8600000,正常
*,INST021,ORG0021,苏州分行,分行,,苏州分行,江苏省,苏州,一级分行,2010-05-11,92,20,243,13250000,8780000,正常
*,INST022,ORG0022,苏州第01支行,支行,INST021,苏州分行,江苏省,苏州,综合支行,2010-06-21,14,4,246,13500000,8960000,正常
*,INST023,ORG0023,苏州第02支行,支行,INST021,苏州分行,江苏省,苏州,小微专营支行,2010-08-01,16,5,249,13750000,9140000,正常
*,INST024,ORG0024,苏州第03支行,支行,INST021,苏州分行,江苏省,苏州,综合支行,2010-09-11,18,6,252,14000000,9320000,正常
*,INST025,ORG0025,苏州第04支行,支行,INST021,苏州分行,江苏省,苏州,小微专营支行,2010-10-22,20,7,255,14250000,9500000,正常
*,INST026,ORG0026,苏州第05支行,支行,INST021,苏州分行,江苏省,苏州,综合支行,2010-12-02,22,3,258,14500000,9680000,正常
*,INST027,ORG0027,苏州第06支行,支行,INST021,苏州分行,江苏省,苏州,小微专营支行,2011-01-12,24,4,261,14750000,9860000,正常
*,INST028,ORG0028,苏州第07支行,支行,INST021,苏州分行,江苏省,苏州,综合支行,2011-02-22,26,5,264,15000000,10040000,正常
*,INST029,ORG0029,苏州第08支行,支行,INST021,苏州分行,江苏省,苏州,小微专营支行,2011-04-04,28,6,267,15250000,10220000,正常
*,INST030,ORG0030,苏州第09支行,支行,INST021,苏州分行,江苏省,苏州,综合支行,2011-05-15,30,7,270,15500000,10400000,正常
*,INST031,ORG0031,杭州分行,分行,,杭州分行,浙江省,杭州,一级分行,2011-06-25,98,21,273,15750000,10580000,正常
*,INST032,ORG0032,杭州第01支行,支行,INST031,杭州分行,浙江省,杭州,综合支行,2011-08-05,14,4,276,16000000,10760000,正常
