tenant_id,customer_id,customer_name,gender,age,province,city,customer_segment,industry,institution_id,institution_name,branch_name,customer_manager_id,customer_manager_name,registration_date,annual_income,annual_revenue,credit_score,risk_level,is_active,has_credit,has_drawdown,current_loan_balance
*,CUST0001,模拟客户001,男,30,上海市,上海,小微商户,餐饮服务,INST009,上海第08支行,上海分行,RM001,客户经理01,2024-01-07,93500,328000,577,高,1,1,1,38700
*,CUST0002,模拟客户002,女,37,江苏省,南京,存量经营户,批发零售,INST017,南京第06支行,南京分行,RM002,客户经理02,2024-01-13,97000,356000,594,高,1,0,0,0
*,CUST0003,模拟客户003,男,44,江苏省,苏州,年轻白领,商务服务,INST025,苏州第04支行,苏州分行,RM003,客户经理03,2024-01-19,100500,384000,611,高,1,1,0,0
*,CUST0004,模拟客户004,女,51,浙江省,杭州,代发客群,信息技术,INST033,杭州第02支行,杭州分行,RM004,客户经理04,2024-01-25,104000,412000,628,中,1,1,1,92000
*,CUST0005,模拟客户005,男,58,广东省,深圳,新市民,制造业,INST050,深圳第09支行,深圳分行,RM005,客户经理05,2024-01-31,107500,440000,645,中,1,0,0,0
*,CUST0006,模拟客户006,女,26,广东省,广州,小微商户,餐饮服务,INST058,广州第07支行,广州分行,RM006,客户经理06,2024-02-06,111000,468000,662,中,1,1,1,55500
*,CUST0007,模拟客户007,男,33,四川省,成都,存量经营户,批发零售,INST066,成都第05支行,成都分行,RM007,客户经理07,2024-02-12,114500,496000,679,中,1,1,0,0
*,CUST0008,模拟客户008,女,40,湖北省,武汉,年轻白领,商务服务,INST074,武汉第03支行,武汉分行,RM008,客户经理08,2024-02-18,118000,524000,696,中,1,0,0,0
*,CUST0009,模拟客户009,男,47,河南省,郑州,代发客群,信息技术,INST082,郑州第01支行,郑州分行,RM009,客户经理09,2024-02-24,121500,552000,713,低,0,1,1,119600
*,CUST0010,模拟客户010,女,54,安徽省,合肥,新市民,制造业,INST099,合肥第08支行,合肥分行,RM010,客户经理10,2024-03-01,125000,580000,730,低,1,1,0,0
*,CUST0011,模拟客户011,男,61,上海市,上海,小微商户,餐饮服务,INST007,上海第06支行,上海分行,RM011,客户经理11,2024-03-07,128500,608000,747,低,1,1,1,91200
*,CUST0012,模拟客户012,女,29,江苏省,南京,存量经营户,批发零售,INST015,南京第04支行,南京分行,RM012,客户经理12,2024-03-13,132000,636000,764,低,1,1,1,111000
*,CUST0013,模拟客户013,男,36,江苏省,苏州,年轻白领,商务服务,INST023,苏州第02支行,苏州分行,RM013,客户经理13,2024-03-19,135500,664000,781,低,1,0,0,0
*,CUST0014,模拟客户014,女,43,浙江省,杭州,代发客群,信息技术,INST040,杭州第09支行,杭州分行,RM014,客户经理14,2024-03-25,139000,692000,798,低,1,1,0,0
*,CUST0015,模拟客户015,男,50,广东省,深圳,新市民,制造业,INST048,深圳第07支行,深圳分行,RM015,客户经理15,2024-03-31,142500,720000,565,高,1,1,1,91200
*,CUST0016,模拟客户016,女,57,广东省,广州,小微商户,餐饮服务,INST056,广州第05支行,广州分行,RM016,客户经理16,2024-04-06,146000,748000,582,高,1,0,0,0
