tenant_id,branch_name,product_line,month,channel,customer_segment,loan_amount,drawdown_rate,drawdown_amount,eligible_amount
*,上海分行,经营贷,2026-07,客户经理,小微商户,48600000,0.442,44200000,100000000
*,南京分行,消费贷,2026-07,手机银行,代发客群,43800000,0.405,36450000,90000000
*,广州分行,经营贷,2026-07,客户经理,存量经营户,41200000,0.391,31280000,80000000
*,深圳分行,经营贷,2026-07,联合运营,科技企业,38900000,0.382,26740000,70000000
*,成都分行,消费贷,2026-07,手机银行,年轻白领,35400000,0.361,21660000,60000000
*,郑州分行,经营贷,2026-07,客户经理,小微商户,32600000,0.348,17400000,50000000
*,杭州分行,消费贷,2026-07,线上渠道,年轻白领,29800000,0.337,13480000,40000000
*,武汉分行,经营贷,2026-07,客户经理,存量经营户,27100000,0.326,9780000,30000000
*,苏州分行,经营贷,2026-07,联合运营,制造企业,24600000,0.315,6300000,20000000
*,合肥分行,消费贷,2026-07,线上渠道,新市民,21900000,0.302,3020000,10000000
